LuongTon,SoLuongNhap,NgayNhapHangGanNhat,Nhan
16,22,17,0
13,27,15,1
4,14,14,1
13,6,19,0
15,11,8,0
3,18,28,1
6,19,27,1
10,27,17,1
15,10,7,0
3,22,9,1
9,10,26,0
3,17,26,1
7,27,6,1
14,16,19,0
3,27,7,1
6,1,26,0
7,30,24,1
19,4,25,0
11,30,19,1
16,30,8,0
27,7,20,0
4,13,26,1
25,6,13,0
3,9,13,1
1,18,2,1
26,7,2,0
6,26,12,1
5,11,11,1
5,7,1,0
8,12,19,0
15,25,21,0
5,26,10,1
10,19,8,0
26,23,24,0
9,26,22,1
3,28,23,1
25,11,2,0
12,9,25,0
12,30,7,1
20,16,3,0
6,23,13,1
19,14,3,0
8,21,18,1
24,22,28,0
22,9,21,0
1,3,4,1
9,13,21,0
11,24,12,1
12,8,4,0
24,14,29,0
28,20,1,0
1,6,20,1
30,19,19,0
7,27,21,1
4,26,5,1
27,5,26,0
14,16,18,0
2,8,4,1
7,30,21,1
1,14,26,1
29,16,28,0
7,22,4,1
11,14,20,0
1,5,22,1
11,5,22,0
6,23,19,1
19,12,18,0
14,3,29,0
5,25,19,1
26,30,2,0
18,14,3,0
16,18,15,0
7,23,26,1
1,13,22,1
4,17,6,1
30,4,7,0
15,17,18,0
5,30,4,1
22,12,20,0
8,16,16,0
30,25,11,0
8,14,24,0
5,25,6,1
24,8,29,0
3,7,3,1
21,4,11,0
3,8,5,1
29,14,12,0
11,19,28,0
5,26,24,1
21,5,13,0
30,18,21,0
27,9,24,0
1,1,14,0
8,23,17,1
7,19,1,1
4,3,24,0
7,15,2,1
20,14,27,0
4,29,20,1
23,2,21,0
22,2,16,0
4,22,18,1
7,21,29,1
13,13,11,0
6,26,27,1
6,10,14,0
26,11,24,0
19,14,26,0
11,24,2,1
22,11,30,0
12,1,9,0
8,25,26,1
4,29,2,1
14,16,11,0
1,23,12,1
9,20,10,1
7,17,5,1
27,24,1,0
27,2,27,0
1,28,16,1
14,10,28,0
16,25,7,0
1,26,23,1
20,29,28,0
12,7,30,0
22,17,22,0
2,7,18,1
24,1,4,0
14,19,17,0
4,19,17,1
10,29,24,1
22,22,12,0
30,7,8,0
7,28,7,1
24,11,26,0
8,25,24,1
24,9,25,0
6,21,7,1
11,4,14,0
25,30,15,0
18,18,4,0
10,18,3,0
9,23,17,1
16,27,27,0
30,22,7,0
22,12,25,0
1,15,12,1
16,30,28,0
25,14,30,0
4,9,2,1
27,16,14,0
6,25,14,1
6,13,11,1
7,28,21,1
15,7,25,0
13,19,12,0
4,24,24,1
17,18,1,0
9,21,11,1
21,19,16,0
29,10,28,0
4,14,4,1
18,4,6,0
12,23,30,0
7,15,9,1
17,8,9,0
19,25,25,0
29,19,1,0
18,17,6,0
2,14,9,1
26,10,2,0
14,16,18,0
26,30,28,0
1,5,10,1
12,27,28,0
27,29,30,0
18,2,6,0
16,27,25,0
3,28,10,1
4,16,27,1
16,22,5,0
6,5,13,0
11,17,7,0
4,16,21,1
1,18,13,1
21,17,12,0
5,27,23,1
25,27,16,0
22,20,25,0
15,19,20,0
2,6,8,1
9,4,7,0
10,24,16,0
8,3,18,0
24,13,18,0
3,23,27,1
28,4,16,0
4,3,23,0
15,21,7,0
8,30,10,1
10,30,14,1
26,9,2,0
11,11,29,0
4,28,22,1
19,8,16,0
3,14,30,1
17,29,1,0
11,23,23,0
25,7,12,0
4,26,27,1
14,20,26,0
30,29,15,0
11,6,3,0
7,22,20,1
22,8,2,0
22,10,27,0
12,2,3,0
17,6,6,0
29,1,10,0
7,30,18,1
29,26,25,0
20,21,21,0
25,3,17,0
4,19,11,1
11,29,14,1
11,19,3,0
15,22,5,0
4,26,28,1
10,9,28,0
10,17,26,0
11,29,24,1
22,16,24,0
4,29,5,1
15,22,3,0
25,17,4,0
8,25,27,1
30,20,26,0
7,20,10,1
13,11,23,0
4,9,14,1
28,3,18,0
2,16,23,1
15,4,2,0
5,29,12,1
1,6,11,1
10,23,23,0
2,28,11,1
7,20,7,1
12,10,24,0
25,9,12,0
16,29,20,0
12,6,19,0
